mean_RD,covered_sats,covered_suns,skill_diversity,skill_coverage,quantity_of_fav_rotas,control,size
17.666666666666668,4.0,6.0,0.7692307692307693,10,1,False,4
21.333333333333332,7.0,5.0,1.0,10,0,False,3
22.133333333333333,7.0,6.0,0.6666666666666666,12,1,False,6
20.75,9.0,8.0,0.52,13,4,False,8
13.466666666666667,9.0,5.0,0.52,13,0,False,6
18.2,7.0,7.0,0.5294117647058824,9,2,False,5
8.0,6.0,1.0,0.8333333333333334,5,0,False,2
16.666666666666668,4.0,4.0,0.7272727272727273,8,3,False,3
17.0,8.0,7.0,0.7333333333333333,11,1,False,6
9.8,4.0,6.0,0.6470588235294118,11,0,False,5
23.8,12.0,3.0,0.6428571428571429,9,1,False,5
20.0,7.0,7.0,0.7692307692307693,10,2,False,5
9.0,4.0,4.0,1.0,7,0,False,2
20.0,10.0,3.0,0.8181818181818182,9,2,False,4
10.0,5.0,3.0,0.8181818181818182,9,1,False,3
10.0,6.0,2.0,1.0,7,1,False,2
17.6,8.0,6.0,0.6666666666666666,12,1,False,5
24.666666666666668,6.0,5.0,0.7,7,0,False,3
12.666666666666666,6.0,3.0,0.625,5,1,False,3
17.4,7.0,5.0,0.6666666666666666,14,2,False,5
16.333333333333332,8.0,6.0,0.6666666666666666,10,1,False,4
24.0,4.0,6.0,0.75,9,1,False,3
20.0,7.0,7.0,0.5625,9,2,False,5
19.8,6.0,7.0,0.8333333333333334,10,2,False,5
20.0,3.0,5.0,0.75,6,1,False,3
16.8,6.0,6.0,0.7058823529411765,12,1,False,5
21.8,6.0,5.0,0.8461538461538461,11,3,False,5
14.6,6.0,4.0,0.6875,11,0,False,5
20.0,5.0,5.0,0.75,9,2,False,3
15.833333333333334,7.0,7.0,0.7857142857142857,11,1,False,4
10.666666666666666,5.0,5.0,0.9,9,0,False,3
16.0,4.0,4.0,1.0,6,0,False,2
14.2,8.0,6.0,0.5263157894736842,10,1,False,5
13.533333333333333,8.0,7.0,0.5416666666666666,13,2,False,6
20.0,9.0,2.0,0.7272727272727273,8,1,False,3
21.2,10.0,7.0,0.6666666666666666,10,3,False,6
10.8,9.0,5.0,0.631578947368421,12,1,False,5
16.19047619047619,6.0,11.0,0.47619047619047616,10,2,False,7
23.333333333333332,10.0,2.0,0.8571428571428571,6,2,False,3
14.2,7.0,7.0,0.5882352941176471,10,2,False,5
16.0,6.0,7.0,0.8571428571428571,6,1,False,5
9.4,6.0,3.0,1.0,7,1,False,5
10.0,7.0,2.0,0.8,8,0,False,3
23.0,4.0,3.0,0.8333333333333334,5,1,False,2
