mean_RCQ,mean_error_RCQ,mean_WWD,mean_error_WWD,mean_RD,mean_WSP,mean_SQ,mean_error_SQ,skill_diversity,skill_coverage,day_coverage,size,Faulty
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,False True
,,,,,,,,,,,,
3.6666666666666665,0.4444444444444445,4.333333333333333,0.4444444444444443,15.333333333333334,0.2307692307692307,1.3333333333333333,0.4444444444444444,1.0,4.0,0.7252747252747253,3.0,True
3.0,1.0,4.730769230769231,0.2692307692307691,11.0,0.2307692307692307,2.5,1.5,1.0,5.0,0.7362637362637363,2.0,True
3.6666666666666665,0.4444444444444445,4.666666666666667,0.4444444444444443,12.533333333333331,0.1923076923076923,3.0,1.6666666666666667,0.7222222222222222,13.0,0.7692307692307693,6.0,True
3.0,1.0,5.0,0.0,2.0,0.2307692307692307,2.0,1.0,0.75,6.0,0.7362637362637363,4.0,True
3.25,0.375,4.615384615384615,0.3846153846153846,14.666666666666666,0.173076923076923,3.75,0.875,0.6666666666666666,10.0,0.7472527472527473,4.0,True
3.6,0.48,4.492307692307692,0.4061538461538461,15.6,0.2307692307692307,3.2,1.04,0.6875,11.0,0.7472527472527473,5.0,True
3.0,1.3333333333333333,4.487179487179487,0.3418803418803418,16.666666666666668,0.2307692307692307,3.0,0.6666666666666666,1.0,9.0,0.7472527472527473,3.0,True
3.8,0.3200000000000001,4.492307692307692,0.4061538461538461,16.4,0.1846153846153846,3.6,0.8800000000000001,0.6666666666666666,12.0,0.7472527472527473,5.0,True
3.6666666666666665,0.5555555555555557,4.666666666666667,0.4444444444444443,11.2,0.1923076923076923,2.833333333333333,0.8333333333333334,0.7058823529411765,12.0,0.7472527472527473,6.0,True
3.0,0.0,5.0,0.0,1.3333333333333333,0.2307692307692307,3.0,1.3333333333333333,0.7777777777777778,7.0,0.7252747252747253,3.0,True
1.0,0.0,5.0,0.0,,0.2307692307692307,1.0,0.0,1.0,1.0,0.7142857142857143,1.0,True
3.75,0.375,4.5,0.5,14.333333333333334,0.2307692307692307,2.25,0.875,0.7777777777777778,7.0,0.7362637362637363,4.0,True
3.0,1.0,4.740384615384615,0.3245192307692308,9.892857142857142,0.2307692307692307,2.0,0.75,0.625,10.0,0.7692307692307693,8.0,True
3.25,0.375,4.865384615384615,0.2019230769230771,6.833333333333333,0.2307692307692307,2.0,0.5,0.75,6.0,0.7472527472527473,4.0,True
4.0,0.0,4.692307692307692,0.3692307692307693,10.0,0.2307692307692307,3.0,0.8,0.5333333333333333,8.0,0.7362637362637363,5.0,True
4.0,0.0,5.0,0.0,2.2,0.2307692307692307,2.4,0.8800000000000001,0.8333333333333334,10.0,0.7362637362637363,5.0,True
3.333333333333333,0.4444444444444445,4.307692307692308,0.2051282051282053,9.333333333333334,0.2307692307692307,3.0,1.3333333333333333,1.0,9.0,0.6813186813186813,3.0,True
3.4,0.9600000000000002,4.892307692307692,0.1723076923076925,6.0,0.2307692307692307,2.6,1.28,0.7692307692307693,10.0,0.7472527472527473,5.0,True
3.5,0.5,5.0,0.0,0.0,0.2307692307692307,3.0,1.0,0.6666666666666666,4.0,0.7142857142857143,2.0,True
4.0,0.0,5.0,0.0,4.0,0.2307692307692307,2.25,0.875,0.6666666666666666,6.0,0.7472527472527473,4.0,True
3.0,0.6666666666666666,4.666666666666667,0.4444444444444443,12.666666666666666,0.1538461538461538,4.333333333333333,0.888888888888889,0.8461538461538461,11.0,0.7472527472527473,3.0,True
3.0,0.5,5.0,0.0,4.333333333333333,0.173076923076923,3.25,1.25,0.6153846153846154,8.0,0.7472527472527473,4.0,True
3.0,0.0,5.0,0.0,,0.0,5.0,0.0,1.0,5.0,0.7142857142857143,1.0,True
3.8,0.3200000000000001,4.692307692307692,0.3692307692307693,10.6,0.2307692307692307,2.8,0.96,0.5714285714285714,8.0,0.7472527472527473,5.0,True
4.0,0.0,4.5,0.5,13.0,0.2307692307692307,3.0,1.0,0.6666666666666666,4.0,0.7142857142857143,2.0,True
3.8,0.3200000000000001,4.6,0.4800000000000001,9.6,0.2307692307692307,2.2,0.7200000000000001,0.6363636363636364,7.0,0.7252747252747253,5.0,True
2.75,0.875,4.548076923076923,0.3389423076923077,11.535714285714286,0.2307692307692307,2.875,1.125,0.6956521739130435,16.0,0.7472527472527473,8.0,True
3.125,0.875,4.75,0.375,8.357142857142858,0.2307692307692307,2.5,1.0,0.7,14.0,0.7472527472527473,8.0,True
3.6,0.48,5.0,0.0,1.6,0.2307692307692307,2.2,1.04,0.7272727272727273,8.0,0.7252747252747253,5.0,True
3.5,0.75,4.615384615384615,0.3846153846153846,13.0,0.2307692307692307,3.5,1.0,0.7857142857142857,11.0,0.7472527472527473,4.0,True
4.0,0.0,5.0,0.0,2.0,0.2307692307692307,3.75,0.875,0.6,9.0,0.7362637362637363,4.0,True
2.75,0.75,4.615384615384615,0.3846153846153846,13.0,0.2307692307692307,2.75,0.75,0.8181818181818182,9.0,0.7472527472527473,4.0,True
