mean_RCQ,mean_RD,mean_WSP,mean_SQ,skill_diversity,skill_coverage,quantity_of_fav_rotas,control,size
2.2857142857142856,13.428571428571429,0.2527472527472528,2.7142857142857144,0.6842105263157895,13,4,False,7
3.2222222222222223,20.11111111111111,0.264957264957265,2.2222222222222223,0.55,11,4,False,9
2.888888888888889,18.833333333333332,0.358974358974359,2.888888888888889,0.46153846153846156,12,4,False,9
3.6666666666666665,26.0,0.25641025641025644,2.6666666666666665,0.75,6,1,False,3
4.0,25.0,0.3076923076923077,1.5,1.0,3,0,False,2
3.6,20.2,0.3076923076923077,4.2,0.6190476190476191,13,2,False,5
3.0,18.133333333333333,0.3333333333333333,2.6666666666666665,0.6875,11,3,False,6
3.5,20.833333333333332,0.3653846153846154,3.25,0.6923076923076923,9,1,False,4
3.125,17.321428571428573,0.29807692307692313,4.0,0.5,16,4,False,8
3.3333333333333335,20.666666666666668,0.3846153846153846,2.6666666666666665,0.75,6,2,False,3
3.3333333333333335,18.066666666666666,0.32051282051282054,3.1666666666666665,0.631578947368421,12,5,False,6
3.142857142857143,19.61904761904762,0.3516483516483517,2.4285714285714284,0.6470588235294118,11,2,False,7
2.75,18.5,0.21153846153846156,1.75,1.0,7,1,False,4
3.5,25.666666666666668,0.3461538461538462,3.1666666666666665,0.631578947368421,12,3,False,6
2.5714285714285716,14.285714285714286,0.30769230769230776,2.4285714285714284,0.7647058823529411,13,2,False,7
3.8333333333333335,20.466666666666665,0.3076923076923077,3.3333333333333335,0.6,12,4,False,6
2.875,19.035714285714285,0.25961538461538464,1.75,0.7142857142857143,10,5,False,8
3.0,10.933333333333334,0.25641025641025644,2.8333333333333335,0.5882352941176471,10,5,False,6
4.0,20.666666666666668,0.2820512820512821,1.0,1.0,3,2,False,3
3.6,22.2,0.2923076923076923,2.8,0.7142857142857143,10,3,False,5
3.25,24.0,0.34615384615384615,2.25,0.7777777777777778,7,1,False,4
3.5,21.4,0.3717948717948718,3.1666666666666665,0.631578947368421,12,1,False,6
3.3333333333333335,26.666666666666668,0.3333333333333333,2.6666666666666665,0.75,6,2,False,3
3.0,29.333333333333332,0.2564102564102564,3.3333333333333335,0.7,7,2,False,3
3.0,19.066666666666666,0.32051282051282054,2.6666666666666665,0.6875,11,3,False,6
3.6,19.2,0.3384615384615385,2.8,0.7142857142857143,10,2,False,5
3.5,17.4,0.3333333333333333,3.3333333333333335,0.75,15,3,False,6
4.0,23.0,0.38461538461538464,2.5,0.8,4,1,False,2
3.0,13.833333333333334,0.25,3.0,0.6666666666666666,8,2,False,4
4.0,,0.3076923076923077,4.0,1.0,4,0,False,1
4.0,24.0,0.42307692307692313,3.0,1.0,6,0,False,2
3.5,22.0,0.34615384615384615,3.0,1.0,6,0,False,2
4.0,15.0,0.2692307692307693,2.0,1.0,4,0,False,2
3.625,14.071428571428571,0.31730769230769235,2.625,0.6190476190476191,13,2,False,8
3.75,16.833333333333332,0.3269230769230769,2.5,0.9,9,3,False,4
3.6,21.0,0.3230769230769231,3.2,0.6875,11,2,False,5
3.8,16.8,0.27692307692307694,3.0,0.7333333333333333,11,2,False,5
4.0,23.833333333333332,0.2692307692307692,3.0,0.8333333333333334,10,2,False,4
3.0,21.333333333333332,0.35897435897435903,2.6666666666666665,0.75,6,2,False,3
3.5,17.333333333333332,0.34615384615384615,4.0,0.625,10,1,False,4
