mean_RCQ,mean_RD,mean_WSP,mean_SQ,skill_diversity,size,control
3.5,13.5,0.23076923076923078,4.0,0.625,4,False
3.5,14.666666666666666,0.23076923076923078,3.25,0.6923076923076923,4,False
3.8333333333333335,7.666666666666667,0.2307692307692308,2.8333333333333335,0.6470588235294118,6,False
4.0,8.5,0.23076923076923078,3.5,0.8571428571428571,4,False
3.5714285714285716,9.80952380952381,0.2307692307692308,2.2857142857142856,0.625,7,False
3.4,13.2,0.23076923076923078,3.2,0.6875,5,False
3.5,4.866666666666666,0.2307692307692308,3.0,0.6666666666666666,6,False
3.2,15.2,0.18461538461538463,4.0,0.65,5,False
3.0,20.0,0.23076923076923078,2.0,1.0,2,False
4.0,12.095238095238095,0.2307692307692308,2.2857142857142856,0.5625,7,False
3.3333333333333335,13.333333333333334,0.23076923076923075,4.0,0.8333333333333334,3,False
4.0,7.333333333333333,0.23076923076923075,2.6666666666666665,1.0,3,False
2.5555555555555554,13.11111111111111,0.23076923076923078,2.7777777777777777,0.52,9,False
3.6666666666666665,8.666666666666666,0.23076923076923075,3.3333333333333335,0.8,3,False
4.0,8.166666666666666,0.23076923076923078,2.75,0.9090909090909091,4,False
3.0,11.333333333333334,0.23076923076923075,3.0,0.8888888888888888,3,False
4.0,13.4,0.23076923076923078,3.6,0.7222222222222222,5,False
3.5,9.0,0.23076923076923078,2.0,0.625,4,False
3.2,12.0,0.23076923076923078,2.2,0.6363636363636364,5,False
3.5,14.666666666666666,0.23076923076923078,2.25,0.7777777777777778,4,False
3.5,7.0,0.2307692307692308,4.333333333333333,0.5769230769230769,6,False
3.0,9.466666666666667,0.2307692307692308,3.0,0.4444444444444444,6,False
4.0,19.0,0.17307692307692307,3.5,0.7142857142857143,4,False
3.25,7.5,0.23076923076923078,3.0,0.6666666666666666,4,False
3.0,8.666666666666666,0.23076923076923075,3.3333333333333335,0.8,3,False
3.857142857142857,18.666666666666668,0.16483516483516486,4.142857142857143,0.4827586206896552,7,False
3.2,12.6,0.23076923076923078,2.6,0.7692307692307693,5,False
3.6,12.0,0.23076923076923078,2.0,0.6,5,False
3.4,12.2,0.13846153846153847,4.4,0.5454545454545454,5,False
3.25,14.333333333333334,0.17307692307692307,3.75,0.6666666666666666,4,False
3.5,6.833333333333333,0.23076923076923078,1.75,1.0,4,False
3.5,9.0,0.23076923076923078,3.0,1.0,2,False
3.0,12.178571428571429,0.23076923076923078,2.5,0.6,8,False
4.0,8.666666666666666,0.23076923076923075,2.3333333333333335,0.7142857142857143,3,False
3.1666666666666665,5.666666666666667,0.2307692307692308,3.3333333333333335,0.7,6,False
3.25,15.357142857142858,0.17307692307692307,3.75,0.5333333333333333,8,False
3.5,15.0,0.23076923076923078,2.75,0.7272727272727273,4,False
3.4,3.0,0.23076923076923078,4.0,0.65,5,False
3.5,8.0,0.23076923076923078,3.0,1.0,2,False
3.6666666666666665,7.333333333333333,0.23076923076923075,3.3333333333333335,0.8,3,False
3.142857142857143,6.285714285714286,0.2307692307692308,3.2857142857142856,0.6086956521739131,7,False
3.0,2.9523809523809526,0.2307692307692308,2.5714285714285716,0.5,7,False
4.0,16.666666666666668,0.23076923076923075,1.6666666666666667,0.8,3,False
2.8,13.2,0.23076923076923078,3.5,0.37142857142857144,10,False
3.5714285714285716,13.714285714285714,0.2307692307692308,2.7142857142857144,0.7368421052631579,7,False
4.0,11.0,0.23076923076923078,3.0,1.0,2,False
